day,XUSDTZEUR,XUNIZEUR,XETHZEUR,XXDGZEUR,XLTCZEUR,XETHZUSD,XUNIZUSD,XXBTZEUR,XXBTZUSD,XXLMZUSD,XNANOZUSD,XXMRZUSD,XEOSZUSD,XUSDTZUSD,XXMRZEUR,XBCHZEUR,XREPV2ZEUR,XXDGZUSD,XNANOZEUR,XXRPZEUR,XLTCZUSD,XEOSZEUR,XXRPZUSD,XXLMZEUR,XBCHZUSD,XREPV2ZUSD
2013-09-10,,,,,,,,97.0000,,,,,,,,,,,,,,,,,,
2013-09-11,,,,,,,,97.8000,,,,,,,,,,,,,,,,,,
2013-09-13,,,,,,,,96.3300,,,,,,,,,,,,,,,,,,
2013-09-14,,,,,2.1359,,,95.3333,,,,,,,,,,,,,,,,,,
2013-09-15,,,,,,,,95.0000,,,,,,,,,,,,,,,,,,
2013-09-16,,,,,,,,91.6667,,,,,,,,,,,,,,,,,,
2013-09-17,,,,,2.1120,,,94.6667,,,,,,,,,,,,,,,,,,
2013-09-18,,,,,1.9000,,,94.5833,,,,,,,,,,,,,,,,,,
2013-09-19,,,,,,,,93.3333,,,,,,,,,,,,,,,,,,
2013-09-21,,,,,,,,94.3267,,,,,,,,,,,,,,,,,,
2013-09-22,,,,,,,,93.0000,,,,,,,,,,,,,,,,,,
2013-09-23,,,,,,,,92.5000,,,,,,,,,,,,,,,,,,
2013-09-24,,,,,,,,90.2500,,,,,,,,,,,,,,,,,,
2013-09-25,,,,,1.8600,,,90.5367,,,,,,,,,,,,,,,,,,
2013-09-28,,,,,,,,91.2000,,,,,,,,,,,,,,,,,,
2013-09-29,,,,,1.8533,,,94.0833,,,,,,,,,,,,,,,,,,
2013-09-30,,,,,,,,94.5000,,,,,,,,,,,,,,,,,,
2013-10-01,,,,,,,,95.5000,,,,,,,,,,,,,,,,,,
2013-10-02,,,,,,,,93.0000,,,,,,,,,,,,,,,,,,
2013-10-03,,,,,,,,87.6663,,,,,,,,,,,,,,,,,,
2013-10-04,,,,,,,,89.9333,,,,,,,,,,,,,,,,,,
2013-10-05,,,,,,,,88.4960,,,,,,,,,,,,,,,,,,
2013-10-06,,,,,,,,90.0689,122.0000,,,,,,,,,,,,,,,,,
2013-10-07,,,,,1.5000,,,96.7865,123.6100,,,,,,,,,,,,,,,,,
2013-10-08,,,,,,,,93.0097,124.0900,,,,,,,,,,,,,,,,,
2013-10-09,,,,,,,,92.7667,123.8990,,,,,,,,,,,,,,,,,
2013-10-10,,,,,,,,94.2606,125.8567,,,,,,,,,,,,,,,,,
2013-10-11,,,,,1.6100,,,92.1543,,,,,,,,,,,,,,,,,,
2013-10-12,,,,,,,,94.2000,127.1667,,,,,,,,,,,,,,,,,
2013-10-13,,,,,,,,95.9933,131.8408,,,,,,,,,,,,,,,,,
2013-10-14,,,,,,,,89.6667,134.8491,,,,,,,,,,,,,,,,,
2013-10-15,,,,,,,,100.3368,140.2532,,,,,,,,,,,,,,,,,
2013-10-16,,,,,,,,104.1668,140.6225,,,,,,,,,,,,,,,,,
2013-10-17,,,,,,,,106.3299,142.0151,,,,,,,,,,,,,,,,,
2013-10-18,,,,,,,,109.3635,149.6966,,,,,,,,,,,,,,,,,
2013-10-19,,,,,,,,119.4909,164.8167,,,,,,,,,,,,,,,,,
2013-10-20,,,,,,,,121.3667,164.1628,,,,,,,,,,,,,,,,,
2013-10-21,,,,,,,,127.8099,172.6590,,,,,,,,,,,,,,,,,
2013-10-22,,,,,,,,135.8501,164.7333,,,,,,,,,,,,,,,,,
